day,fire_id,demand,outside_gacc
1,1,1,False
19,2,1,False
20,3,2,False
21,3,2,False
22,3,2,False
28,4,4,False
29,4,4,False
35,5,1,False
36,5,1,False
38,6,1,False
39,7,2,False
41,8,1,False
41,9,2,False
41,10,1,True
42,11,1,False
43,11,1,False
43,12,6,False
44,11,1,False
44,12,5,False
45,12,5,False
46,12,1,False
47,13,3,False
47,14,1,False
47,15,2,False
47,16,1,False
47,17,4,False
47,18,1,False
47,19,1,False
47,12,1,False
48,19,3,False
48,18,1,False
48,20,1,False
48,12,1,False
48,21,2,False
48,13,3,False
49,21,2,False
49,22,4,False
49,16,1,False
49,20,1,False
49,15,3,False
49,17,4,False
49,19,3,False
50,15,3,False
50,12,1,False
50,23,1,False
50,13,3,False
50,21,2,False
50,20,1,False
50,17,6,False
50,19,3,False
51,19,3,False
51,23,1,False
51,17,7,False
51,13,1,False
51,22,4,False
51,15,4,False
51,24,3,False
51,20,1,False
51,12,1,False
51,21,2,False
52,17,7,False
52,15,4,False
52,24,2,False
52,19,1,False
52,22,4,False
52,21,2,False
52,12,1,False
53,19,1,False
53,20,2,False
53,21,2,False
53,15,4,False
53,17,6,False
53,22,5,False
54,21,1,False
54,17,6,False
54,15,4,False
54,22,5,False
55,20,1,False
55,17,7,False
55,25,6,False
55,21,1,False
55,15,4,False
55,22,6,False
55,23,2,False
56,22,6,False
56,25,9,False
56,15,2,False
56,20,1,False
57,15,2,False
57,22,6,False
57,20,1,False
57,25,10,False
58,20,1,False
58,21,2,False
58,25,10,False
58,22,5,False
59,21,1,False
59,25,11,False
59,15,3,False
59,22,5,False
60,21,1,False
60,26,1,False
60,15,2,False
60,25,11,False
60,22,5,False
61,27,5,False
61,26,1,False
61,21,1,False
61,15,2,False
61,25,7,False
62,26,1,False
62,21,1,False
62,25,3,False
62,15,2,False
62,27,8,False
63,15,1,False
63,26,1,False
63,27,3,False
63,21,1,False
64,21,1,False
64,27,2,False
64,25,1,False
64,26,2,False
64,28,4,False
64,15,1,False
65,25,1,False
65,26,2,False
65,27,2,False
65,15,1,False
65,21,1,False
66,25,2,False
66,26,2,False
66,21,1,False
66,27,1,False
67,29,1,False
67,25,1,False
67,27,1,False
67,21,1,False
67,26,3,False
68,26,3,False
68,27,1,False
68,21,1,False
69,26,3,False
69,27,1,False
70,25,2,False
70,30,3,False
70,26,2,False
71,25,1,False
71,30,2,False
71,26,2,False
72,26,2,False
72,22,1,False
73,22,1,False
73,26,1,False
73,25,1,False
74,26,1,False
74,25,1,False
74,17,1,False
74,22,1,False
75,31,8,False
75,26,1,False
75,17,1,False
76,17,1,False
76,31,8,False
77,32,3,False
77,17,1,False
77,31,9,False
78,32,2,False
78,31,8,False
79,33,1,True
79,17,1,False
79,31,7,False
80,31,2,False
80,34,4,False
81,34,3,False
82,34,3,False
82,35,2,False
82,36,1,False
82,31,4,False
83,34,3,False
83,37,3,False
83,31,4,False
83,38,1,False
84,39,1,False
84,34,1,False
84,37,3,False
84,31,5,False
84,40,1,False
84,36,2,False
85,31,3,False
85,40,4,False
85,39,3,False
86,39,4,False
86,31,2,False
86,40,4,False
87,40,4,False
87,39,3,False
87,36,1,False
88,39,2,False
88,40,4,False
89,39,2,False
89,40,1,False
90,39,1,False
90,40,1,False
91,41,2,False
92,41,2,False
93,41,1,False
93,39,1,False
94,39,1,False
95,42,1,False
96,42,1,False
101,43,1,True
103,44,2,False
103,45,2,False
104,43,2,True
104,44,2,False
105,45,2,False
105,44,1,False
106,46,1,True
106,47,1,False
107,47,1,False
108,47,1,False
108,44,1,False
109,44,1,False
109,48,4,False
109,47,1,False
109,49,1,True
110,50,2,False
110,47,1,False
110,48,3,False
111,51,1,True
111,48,1,False
111,47,1,False
112,48,1,False
112,52,1,False
112,47,1,False
112,53,2,False
113,52,1,False
113,48,1,False
113,47,1,False
113,53,2,False
114,52,1,False
114,48,1,False
114,54,1,False
115,52,1,False
115,54,1,False
116,52,1,False
116,54,1,False
116,55,1,True
117,52,1,False
117,54,1,False
117,55,1,True
117,56,1,False
118,57,1,False
118,58,1,False
118,54,1,False
118,52,1,False
119,54,1,False
119,57,1,False
119,59,2,False
119,60,1,False
119,61,1,True
120,59,2,False
120,60,1,False
120,62,3,False
120,57,1,False
121,60,3,False
121,62,3,False
121,59,2,False
121,63,1,False
121,58,1,False
122,60,2,False
122,59,3,False
122,58,1,False
122,64,1,True
122,62,3,False
123,65,1,False
123,58,1,False
123,66,1,False
123,59,3,False
123,67,2,False
123,60,2,False
123,68,1,False
123,62,1,False
124,69,1,True
124,59,3,False
124,60,2,False
124,68,1,False
124,62,1,False
125,59,2,False
125,62,1,False
125,66,1,False
125,67,2,False
125,70,2,False
125,71,1,True
125,68,3,False
126,72,2,False
126,62,2,False
126,60,3,False
126,66,1,False
126,73,1,True
126,74,1,False
127,75,2,True
127,62,2,False
127,76,3,False
127,66,1,False
127,74,1,False
127,60,5,False
128,77,1,False
128,68,6,False
128,62,2,False
128,76,4,False
128,78,1,True
129,68,4,False
129,77,1,False
129,62,2,False
130,76,1,False
130,77,5,False
130,79,1,False
130,68,2,False
130,62,2,False
130,80,1,False
131,76,1,False
131,68,1,False
131,79,1,False
131,81,1,False
131,62,2,False
131,82,1,False
131,83,1,True
131,77,5,False
132,77,4,False
132,82,1,False
132,84,2,True
132,62,2,False
132,81,1,False
132,68,1,False
132,79,1,False
133,68,1,False
133,80,1,False
133,62,1,False
133,81,1,False
133,77,4,False
133,82,2,False
134,77,4,False
134,68,1,False
134,85,1,False
134,82,1,False
134,62,1,False
134,84,1,True
135,68,1,False
135,81,1,False
135,80,1,False
135,62,1,False
135,85,1,False
135,77,4,False
136,62,1,False
136,80,1,False
136,86,2,False
136,77,3,False
136,85,1,False
137,86,2,False
137,77,1,False
137,85,1,False
137,62,1,False
138,86,2,False
138,77,1,False
138,62,1,False
138,85,1,False
139,77,1,False
139,85,1,False
139,62,1,False
140,86,2,False
140,62,1,False
140,77,1,False
